Apollo NEA quantity: 506 (how many times we can actually see NEA asteroids)
Apollo NEA Unique quantity: 228
Apollo NEAs: 
b'-' b'2007 RU17' b'23 00 49.1453' b'-12 07 20.997' b'NEA>Apollo' b'24.8' b'0.041' b'588.954' b'345.204772233977' b'-12.122499296235214' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+RU17'
b'-' b'2007 RU17' b'23 00 50.2474' b'-12 07 14.676' b'NEA>Apollo' b'24.8' b'0.041' b'804.948' b'345.2093643245472' b'-12.120743409203303' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+RU17'
b'-' b'2008 HU4' b'22 04 25.5211' b'-10 46 53.600' b'NEA>Apollo' b'30.8' b'0.238' b'835.851' b'331.10633809733315' b'-10.781555491892444' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2008+HU4'
b'-' b'2019 QV' b'16 19 56.3119' b'-10 19 48.163' b'NEA>Apollo' b'27.4' b'94.362' b'719.09' b'244.9846327754032' b'-10.330045407993074' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2019+QV'
b'285638' b'2000 SO10' b'00 06 34.8173' b'-03 51 29.212' b'NEA>Apollo' b'21.4' b'1.534' b'642.009' b'1.6450720388254447' b'-3.8581145370168106' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2000+SO10'
b'-' b'2019 TV1' b'00 18 15.3010' b'-03 14 9.435' b'NEA>Apollo' b'28.4' b'31.82' b'650.901' b'4.563754368351055' b'-3.2359542570815467' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2019+TV1'
b'516734' b'2009 FG1' b'00 50 43.0567' b'-00 49 59.916' b'NEA>Apollo' b'20.7' b'2.53' b'783.863' b'12.679403038545932' b'-0.8333099020360237' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2009+FG1'
b'501878' b'2014 WF365' b'00 59 24.0243' b'-00 29 13.984' b'NEA>Apollo' b'23.7' b'0.352' b'660.355' b'14.850101381950715' b'-0.4872176576587702' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2014+WF365'
b'380929' b'2006 HU30' b'01 14 46.4409' b'+01 05 58.971' b'NEA>Apollo' b'21.5' b'0.003' b'540.555' b'18.693503751638264' b'1.099714264117672' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2006+HU30'
b'504711' b'2009 SP171' b'03 15 53.7881' b'+09 59 26.110' b'NEA>Apollo' b'22.0' b'0.278' b'768.258' b'48.97411717378224' b'9.990586148186932' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2009+SP171'
b'-' b'2014 EQ12' b'04 19 43.2602' b'+12 09 36.559' b'NEA>Apollo' b'28.2' b'0.321' b'557.771' b'64.93025069596908' b'12.160155397469362' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2014+EQ12'
b'-' b'2010 TU5' b'04 21 57.1033' b'+11 55 12.225' b'NEA>Apollo' b'20.7' b'0.159' b'505.734' b'65.48793055774175' b'11.920062607228674' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2010+TU5'
b'-' b'2015 XM129' b'04 40 36.1636' b'+12 12 34.886' b'NEA>Apollo' b'25.2' b'0.082' b'476.01' b'70.15068161041616' b'12.209690523234997' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+XM129'
b'-' b'2015 TM237' b'05 08 50.7392' b'+13 02 10.127' b'NEA>Apollo' b'22.9' b'36.033' b'229.578' b'77.21141337774233' b'13.03614645775382' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+TM237'
b'461353' b'1999 LS7' b'05 32 33.5533' b'+12 52 28.329' b'NEA>Apollo' b'23.2' b'0.877' b'236.907' b'83.13980558980022' b'12.874535903941293' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===1999+LS7'
