Aten NEA quantity: 76 (how many times we can actually see NEA asteroids)
Aten NEA Unique quantity: 29
Aten NEAs: 
b'1998 SD15'
b'1998 SO'
b'2002 AU4'
b'2003 AF23'
b'2004 EW'
b'2004 TR12'
b'2005 GO21'
b'2005 NE21'
b'2007 AG'
b'2007 EX'
b'2009 MW'
b'2009 XZ1'
b'2010 VX139'
b'2012 QH8'
b'2013 BE19'
b'2014 UR'
b'2015 AB44'
b'2015 CB'
b'2015 FD341'
b'2015 XT168'
b'2016 QA2'
b'2017 TK6'
b'2017 VU13'
b'2018 DV1'
b'2019 UY1'
b'2020 RX8'
b'2020 VN1'
b'2021 CD1'
b'2021 CE1'

All NEA data: 
b'164202' b'2004 EW' b'23 03 10.9415' b'-10 41 29.003' b'NEA>Aten' b'23.1' b'0.112' b'522.68' b'345.7955896902373' b'-10.691389639907685' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+EW'
b'164202' b'2004 EW' b'23 03 16.2670' b'-10 40 52.836' b'NEA>Aten' b'23.1' b'0.112' b'787.29' b'345.8177792856708' b'-10.68134320025742' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+EW'
b'-' b'2017 TK6' b'01 02 22.3577' b'-00 40 27.240' b'NEA>Aten' b'27.2' b'4.447' b'699.33' b'15.593157025760101' b'-0.6742332827203621' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+TK6'
b'-' b'2017 TK6' b'01 02 25.7220' b'-00 40 0.436' b'NEA>Aten' b'27.2' b'4.447' b'527.445' b'15.60717514066423' b'-0.666787723101653' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+TK6'
b'-' b'2017 TK6' b'01 02 29.0863' b'-00 39 33.632' b'NEA>Aten' b'27.2' b'4.447' b'525.764' b'15.621193080816235' b'-0.659342255729144' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+TK6'
b'-' b'2017 TK6' b'01 02 32.4506' b'-00 39 6.829' b'NEA>Aten' b'27.2' b'4.447' b'695.523' b'15.635210846216115' b'-0.6518968817487631' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+TK6'
b'-' b'2012 QH8' b'03 28 9.3848' b'+10 17 22.519' b'NEA>Aten' b'22.6' b'0.202' b'805.154' b'52.03910323408427' b'10.289588619155484' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2012+QH8'
b'509352' b'2007 AG' b'06 16 20.0585' b'+12 45 9.820' b'NEA>Aten' b'21.8' b'0.681' b'830.708' b'94.08357714647042' b'12.752727644120366' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+AG'
b'-' b'2020 VN1' b'00 39 48.5866' b'-02 11 15.158' b'NEA>Aten' b'29.0' b'15.914' b'762.298' b'9.952444343754363' b'-2.187543770688152' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2020+VN1'
b'260277' b'2004 TR12' b'04 50 0.0647' b'+12 23 25.591' b'NEA>Aten' b'20.6' b'0.401' b'839.94' b'72.50026960896379' b'12.390442054580465' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2004+TR12'
b'162117' b'1998 SD15' b'06 46 47.1022' b'+12 01 43.721' b'NEA>Aten' b'21.0' b'0.272' b'496.61' b'101.69625912714415' b'12.02881139819927' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===1998+SD15'
b'-' b'2003 AF23' b'08 53 32.5720' b'+06 15 1.020' b'NEA>Aten' b'24.0' b'0.376' b'672.394' b'133.3857168508377' b'6.250283280667455' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2003+AF23'
b'531899' b'2013 BE19' b'09 03 14.8737' b'+03 05 5.545' b'NEA>Aten' b'21.7' b'0.001' b'753.122' b'135.8119735701136' b'3.0848736259062597' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2013+BE19'
b'531899' b'2013 BE19' b'09 03 19.0028' b'+03 04 28.184' b'NEA>Aten' b'21.7' b'0.001' b'570.725' b'135.82917849403592' b'3.0744955720351634' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2013+BE19'
b'531899' b'2013 BE19' b'09 03 23.1325' b'+03 03 50.819' b'NEA>Aten' b'21.7' b'0.001' b'471.42' b'135.84638542617535' b'3.064116383134671' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2013+BE19'
b'531899' b'2013 BE19' b'09 03 27.2626' b'+03 03 13.450' b'NEA>Aten' b'21.7' b'0.001' b'506.671' b'135.86359436595887' b'3.053736061496613' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2013+BE19'
b'531899' b'2013 BE19' b'09 03 31.3933' b'+03 02 36.077' b'NEA>Aten' b'21.7' b'0.001' b'655.099' b'135.88080531682425' b'3.043354608266917' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2013+BE19'
b'531899' b'2013 BE19' b'09 03 35.5244' b'+03 01 58.699' b'NEA>Aten' b'21.7' b'0.001' b'859.973' b'135.89801828106334' b'3.0329720257374158' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2013+BE19'
b'-' b'2016 QA2' b'11 02 10.1957' b'-08 13 26.890' b'NEA>Aten' b'28.3' b'81.97' b'896.536' b'165.54248188349203' b'-8.224136019950592' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2016+QA2'
b'-' b'2016 QA2' b'11 02 14.6919' b'-08 14 0.442' b'NEA>Aten' b'28.3' b'81.97' b'814.028' b'165.56121608448169' b'-8.23345607344847' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2016+QA2'
b'-' b'2016 QA2' b'11 02 19.1878' b'-08 14 33.988' b'NEA>Aten' b'28.3' b'81.97' b'784.427' b'165.57994928909773' b'-8.242774397759735' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2016+QA2'
b'-' b'2016 QA2' b'11 02 23.6836' b'-08 15 7.528' b'NEA>Aten' b'28.3' b'81.97' b'813.534' b'165.5986814973402' b'-8.252090992311398' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2016+QA2'
b'-' b'2016 QA2' b'11 02 28.1791' b'-08 15 41.061' b'NEA>Aten' b'28.3' b'81.97' b'895.648' b'165.61741271092794' b'-8.261405857103487' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2016+QA2'
b'-' b'2017 VU13' b'04 24 20.5567' b'+12 16 47.176' b'NEA>Aten' b'22.5' b'53.158' b'537.636' b'66.08565294726107' b'12.279770978175081' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2017+VU13'
b'369986' b'1998 SO' b'07 02 38.0682' b'+10 32 31.921' b'NEA>Aten' b'22.4' b'0.511' b'762.276' b'105.65861731950112' b'10.542200163078327' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===1998+SO'
b'369986' b'1998 SO' b'07 02 47.1349' b'+10 32 21.806' b'NEA>Aten' b'22.4' b'0.511' b'588.21' b'105.6963953387056' b'10.539390473161996' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===1998+SO'
b'369986' b'1998 SO' b'07 02 56.2050' b'+10 32 11.684' b'NEA>Aten' b'22.4' b'0.511' b'418.372' b'105.7341875810144' b'10.53657877732044' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===1998+SO'
b'369986' b'1998 SO' b'07 03 5.2786' b'+10 32 1.554' b'NEA>Aten' b'22.4' b'0.511' b'261.18' b'105.77199405502188' b'10.533765079564333' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===1998+SO'
b'369986' b'1998 SO' b'07 03 14.3555' b'+10 31 51.418' b'NEA>Aten' b'22.4' b'0.511' b'159.84' b'105.8098147624469' b'10.530949381612562' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===1998+SO'
b'369986' b'1998 SO' b'07 03 23.4359' b'+10 31 41.274' b'NEA>Aten' b'22.4' b'0.511' b'216.921' b'105.84764971188382' b'10.528131687475835' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===1998+SO'
b'369986' b'1998 SO' b'07 03 32.5197' b'+10 31 31.123' b'NEA>Aten' b'22.4' b'0.511' b'364.352' b'105.88549890906225' b'10.525312000018937' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===1998+SO'
b'369986' b'1998 SO' b'07 03 41.6070' b'+10 31 20.965' b'NEA>Aten' b'22.4' b'0.511' b'531.659' b'105.92336235799287' b'10.52249032210666' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===1998+SO'
b'369986' b'1998 SO' b'07 03 50.6976' b'+10 31 10.800' b'NEA>Aten' b'22.4' b'0.511' b'704.841' b'105.96124006440526' b'10.519666657176751' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===1998+SO'
b'369986' b'1998 SO' b'07 03 59.7917' b'+10 31 0.628' b'NEA>Aten' b'22.4' b'0.511' b'880.45' b'105.99913203402899' b'10.516841008094' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===1998+SO'
b'203471' b'2002 AU4' b'08 43 12.8121' b'+06 01 20.358' b'NEA>Aten' b'24.8' b'1.012' b'670.587' b'130.80338389855953' b'6.0223217046236455' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2002+AU4'
b'315098' b'2007 EX' b'12 13 26.9081' b'-15 08 39.667' b'NEA>Aten' b'19.4' b'1.285' b'289.982' b'183.3621168987545' b'-15.144351884778853' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+EX'
b'-' b'2015 FD341' b'12 27 55.8375' b'-15 33 55.378' b'NEA>Aten' b'21.1' b'0.658' b'347.823' b'186.9826564163151' b'-15.565382649696327' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+FD341'
b'477465' b'2009 XZ1' b'05 36 46.4947' b'+12 40 45.986' b'NEA>Aten' b'23.5' b'1.526' b'880.306' b'84.19372798461377' b'12.679440614264049' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2009+XZ1'
b'-' b'2021 CE1' b'08 34 40.7143' b'+05 48 5.917' b'NEA>Aten' b'30.2' b'0.0' b'242.441' b'128.66964271835263' b'5.801643572082239' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2021+CE1'
b'-' b'2021 CD1' b'12 04 53.6586' b'-12 39 21.055' b'NEA>Aten' b'25.5' b'0.0' b'311.821' b'181.2235775264641' b'-12.655848576284432' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2021+CD1'
b'-' b'2015 CB' b'13 44 50.8672' b'-21 05 59.019' b'NEA>Aten' b'25.5' b'9.739' b'747.553' b'206.21194662883545' b'-21.099727374029975' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+CB'
b'-' b'2020 RX8' b'12 17 13.5149' b'-14 06 28.541' b'NEA>Aten' b'20.7' b'15.071' b'202.069' b'184.30631207746762' b'-14.107928112626395' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2020+RX8'
b'308242' b'2005 GO21' b'13 53 46.2456' b'-20 37 38.257' b'NEA>Aten' b'18.8' b'1.178' b'724.263' b'208.44268983820479' b'-20.62729356702318' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+GO21'
b'-' b'2015 XT168' b'14 54 12.7240' b'-25 23 7.287' b'NEA>Aten' b'22.7' b'1.048' b'359.968' b'223.55301674349502' b'-25.38535751026532' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2015+XT168'
b'-' b'2016 QA2' b'16 17 22.6157' b'-29 38 19.380' b'NEA>Aten' b'28.8' b'87.37' b'838.618' b'244.34423225972813' b'-29.638716592809427' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2016+QA2'
b'-' b'2019 UY1' b'16 41 28.2943' b'-29 43 46.031' b'NEA>Aten' b'25.5' b'39.317' b'812.326' b'250.36789297244854' b'-29.729453142270824' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2019+UY1'
