Amor NEA quantity: 353 (how many times we can actually see NEA asteroids)
Amor NEA Unique quantity: 187
Amor NEAs: 
b'-' b'2020 MB3' b'01 19 24.5249' b'+01 08 36.880' b'NEA>Amor' b'26.8' b'93.132' b'81.239' b'19.85218723596605' b'1.143577837659762' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2020+MB3'
b'-' b'2011 ON24' b'01 24 43.5273' b'+01 25 37.457' b'NEA>Amor' b'25.1' b'1.206' b'567.852' b'21.18136383651244' b'1.4270714876026667' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2011+ON24'
b'514652' b'2005 SC71' b'02 02 11.5499' b'+04 52 47.544' b'NEA>Amor' b'21.8' b'0.401' b'786.726' b'30.548124452206928' b'4.879873441797832' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+SC71'
b'514652' b'2005 SC71' b'02 02 14.9438' b'+04 52 53.080' b'NEA>Amor' b'21.8' b'0.401' b'523.483' b'30.56226582981336' b'4.881411141917694' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+SC71'
b'514652' b'2005 SC71' b'02 02 18.3375' b'+04 52 58.614' b'NEA>Amor' b'21.8' b'0.401' b'273.17' b'30.576406220213503' b'4.882948242723705' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+SC71'
b'514652' b'2005 SC71' b'02 02 21.7309' b'+04 53 4.145' b'NEA>Amor' b'21.8' b'0.401' b'143.882' b'30.590545622834416' b'4.884484745361791' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+SC71'
b'514652' b'2005 SC71' b'02 02 25.1242' b'+04 53 9.674' b'NEA>Amor' b'21.8' b'0.401' b'335.078' b'30.604684039394954' b'4.886020648686012' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+SC71'
b'514652' b'2005 SC71' b'02 02 28.5172' b'+04 53 15.201' b'NEA>Amor' b'21.8' b'0.401' b'591.061' b'30.61882146932218' b'4.887555953269338' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+SC71'
b'514652' b'2005 SC71' b'02 02 31.9099' b'+04 53 20.726' b'NEA>Amor' b'21.8' b'0.401' b'855.532' b'30.63295791318904' b'4.889090658538811' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2005+SC71'
b'-' b'2007 AH12' b'02 13 21.2572' b'+06 32 14.833' b'NEA>Amor' b'24.1' b'1.651' b'867.871' b'33.33857161077883' b'6.537453711935531' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2007+AH12'
b'-' b'2013 GC34' b'02 18 10.9553' b'+06 52 12.378' b'NEA>Amor' b'27.7' b'25.227' b'189.637' b'34.545647139131255' b'6.870104929083579' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2013+GC34'
b'-' b'2013 EO20' b'03 00 22.0441' b'+08 13 27.724' b'NEA>Amor' b'28.1' b'0.193' b'885.184' b'45.09185045118105' b'8.224367716634504' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2013+EO20'
b'-' b'2013 EO20' b'03 00 25.2938' b'+08 13 41.571' b'NEA>Amor' b'28.1' b'0.193' b'876.487' b'45.10539098685534' b'8.228214282543096' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2013+EO20'
b'405189' b'2003 BO1' b'03 16 42.6344' b'+09 57 12.155' b'NEA>Amor' b'23.8' b'0.755' b'700.015' b'49.17764327328129' b'9.953376300288147' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2003+BO1'
b'14402' b'1991 DB' b'03 17 7.6518' b'+09 45 45.642' b'NEA>Amor' b'23.6' b'0.032' b'777.949' b'49.281882430329794' b'9.762678303552184' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===1991+DB'
b'446789' b'1998 FN9' b'03 20 30.6247' b'+09 50 2.382' b'NEA>Amor' b'23.9' b'0.269' b'821.708' b'50.127602709935125' b'9.833994867952727' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===1998+FN9'
b'-' b'2006 UD17' b'04 59 43.4155' b'+12 21 18.732' b'NEA>Amor' b'22.2' b'0.745' b'747.612' b'74.93089811596471' b'12.355203237073836' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2006+UD17'
b'-' b'2006 UD17' b'04 59 47.0616' b'+12 21 20.505' b'NEA>Amor' b'22.2' b'0.745' b'788.926' b'74.94608995210089' b'12.355695710341566' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2006+UD17'
b'-' b'2006 UD17' b'04 59 50.7071' b'+12 21 22.274' b'NEA>Amor' b'22.2' b'0.745' b'831.115' b'74.9612797868955' b'12.35618710759456' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2006+UD17'
b'-' b'2006 UD17' b'04 59 54.3522' b'+12 21 24.039' b'NEA>Amor' b'22.2' b'0.745' b'874.052' b'74.97646762149446' b'12.356677428832823' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2006+UD17'
b'-' b'2012 BE86' b'05 50 20.1351' b'+12 59 10.636' b'NEA>Amor' b'23.6' b'0.438' b'754.782' b'87.58389611090792' b'12.986287699642382' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2012+BE86'
b'462559' b'2009 DD1' b'06 07 36.1976' b'+12 27 4.617' b'NEA>Amor' b'23.2' b'0.003' b'825.182' b'91.90082313507293' b'12.45128254750102' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2009+DD1'
b'-' b'2018 KF3' b'08 57 12.7166' b'+06 19 19.946' b'NEA>Amor' b'25.6' b'0.375' b'494.631' b'134.30298597250666' b'6.322207223302674' b'http://vizier.u-strasbg.fr/cgi-bin/VizieR-5?-source=B/astorb/astorb&Name===2018+KF3'
